event_date,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,country_name,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,windgust,windspeed,winddir,pressure,cloudcover,visibility,moonphase,conditions,stations,elevation,continent,season,treecover2000,loss,gain,soil_texture_0,soil_texture_10,soil_texture_30,soil_texture_60,soil_texture_100,soil_texture_200,population_density_2000,population_density_2005,population_density_2010,population_density_2015,population_density_2020
2009-01-02 02:00:00,"Lake Oswego, Oregon",Hours of heavy rain are to blame for an overnight mudslide in Lake Oswego. ,"Lake Oswego, Oregon",5km,mudslide,downpour,small,unknown,0.0,0.0,United States,Oregon,36619,Lake Oswego,0.60342,-122.663,45.42,6.0,1.1,3.2,5.2,-4.6,1.7,1.2,87.27,26.99,58.33,50.95586533403471,26.7,213.1,1010.4,56.2,14.7,0.14,"Rain, Partially cloudy","['72695994281', '72698024229', '72791894298']",39.0,North America,winter,0,0.0,0,Lo,Lo,Lo,Lo,Lo,Lo,1709.1622314453125,1803.5020751953125,1896.0321044921875,1971.1510009765625,2037.960693359375
2012-03-30 00:00:00,"Pend Oreille County, State Route 20 near Usk, OR","In Pend Oreille County, a mudslide on State Route 20 near Usk forced Washington State Patrol to close the highway late Friday, then reduce traffic to one lane.","Pend Oreille County, State Route 20 near Usk, OR",5km,mudslide,downpour,small,unknown,0.0,0.0,United States,Washington,2126,Newport,19.97241,-117.2665,48.2797,9.1,5.9,7.5,5.8,1.7,3.9,3.8,77.38,5.13,62.5,50.7,32.1,207.0,1001.6,96.3,15.6,0.23,"Rain, Overcast","['72787094119', '72785694176', '72783424136', 'KDEW', 'KSFF', 'KCOE']",640.0,North America,spring,0,0.0,0,Lo,Lo,Lo,Lo,Lo,Lo,20.283344268798828,21.398700714111328,22.492149353027344,23.378660202026367,24.16629219055176
2007-09-05 00:00:00,"Warm Springs Road, Idaho","5 feet deep mud, Hotshot crew was trapped while cleaning debris from fire","Warm Springs Road, Idaho",5km,mudslide,rain,medium,unknown,0.0,0.0,United States,Idaho,2689,Ketchum,4.51471,-114.4194,43.6846,15.8,6.6,10.4,15.8,6.6,10.2,5.4,71.32,2.2,16.67,50.95586533403471,15.4,176.5636135644968,1010.3,16.9,28.8,0.83,Rain,"['72586594161', '72682404112', '99999904126']",1818.0,North America,summer,14,0.0,0,Lo,Lo,Lo,Lo,Lo,Lo,8.810029983520508,9.356128692626951,9.899438858032228,10.357863426208496,10.777833938598633
2014-12-21 08:10:00,"US 30, milepost 29",,"US 30, milepost 29",exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,Oregon,12883,Saint Helens,0.87786,-122.8178,45.8647,13.8,9.5,11.5,13.8,9.0,11.4,9.1,85.45,1.4,45.83,35.3,18.7,149.8,1015.8,89.2,15.1,1.0,"Rain, Partially cloudy","['72683604201', 'KKLS', 'KVUO', 'KSPB', '72792424223', '72791894298']",37.0,North America,winter,0,0.0,0,Lo,Lo,Lo,Lo,Lo,Lo,1069.5340576171875,1139.7176513671875,1210.0286865234375,1270.3961181640625,1326.43017578125
2009-01-01 22:24:00,South side of Highway 26 between Cherryville Hill and Brightwood. Oregon,"Oregon State Police and Hoodland Fire Department are on scene of a large mud slide blocking all lanes of Highway 26 between Cherryville Hill and Brightwood.  The mud slide and debris is preliminarily estimated to be up to 2 feet deep and 80 - 100 yards in width. Police say Thursday at approximately 10:24 PM, reports were received of the mud slide that came from the south side of Highway 26 between milepost 34 and 35.",South side of Highway 26 between Cherryville Hill and Brightwood. Oregon,10km,mudslide,rain,small,unknown,0.0,0.0,United States,Oregon,4864,Mount Hood Village,7.43093,-122.0704,45.377,11.3,4.5,7.6,11.3,0.9,6.3,6.8,94.73,59.1,100.0,50.0,23.8,182.1,1006.3,100.0,9.7,0.11,"Rain, Overcast","['72698524242', '72698024229', '72791894298']",312.0,North America,winter,96,0.0,0,Lo,Lo,Lo,Lo,Lo,Lo,57.89384841918945,61.089393615722656,64.2236328125,66.76810455322266,69.0311279296875
2009-01-03 00:00:00,"Suburban Portland, Oregon.","A mud slide destroyed a home in suburban Portland, Oregon. And heavy rains forced dozens of homes to be evacuated in the area. Dozens of roads were flooded.  In Clackamas County, floodwater washed into the Estacada library, ruining thousands of books before receding and leaving behind a layer of silt. ","Suburban Portland, Oregon.",10km,mudslide,rain,small,unknown,0.0,0.0,United States,Oregon,583776,Portland,0.55624,-122.67,45.521,4.6,0.4,2.6,4.6,-2.3,2.1,0.6,87.02,0.0,0.0,50.95586533403471,9.4,120.4,1024.4,86.6,15.6,0.2,Partially cloudy,"['72698524242', '72698024229', '72791894298']",-9.0,North America,winter,0,0.0,0,Lo,Lo,Lo,Lo,Lo,SaLo,3043.220458984375,3214.175048828125,3382.2158203125,3519.478515625,3642.142578125
2009-01-07 01:41:00,"Wildcat Run Road off Dogwood Drive in Maggie Valley, North Carolina ","A mudslide on Wildcat Run Road off Dogwood Drive in Maggie Valley left a creek side home looking like a pile of matchsticks.  The slide was reported at 1:41 a.m. today, according to a release from Haywood County spokesman David Teague. While it is too early to tell the exact factors that contributed to the collapse, Shuping said a rain Gage located at Soco indicated 5.5 inches of rain had fallen in the area in the last 24 hours and that officials would continue to monitor the possible effects of the weather throughout the day. ","Wildcat Run Road off Dogwood Drive in Maggie Valley, North Carolina ",1km,landslide,rain,small,unknown,0.0,0.0,United States,North Carolina,1150,Maggie Valley,2.71542,-83.071,35.507,16.1,1.4,8.7,16.1,-1.7,7.1,3.4,70.96,19.9,29.17,61.2,31.7,241.5,997.0,21.5,14.4,0.41,"Rain, Partially cloudy","['72315003812', '99999953877', '99999953878']",982.0,North America,winter,88,0.0,0,Lo,Lo,Lo,SaLo,SaLo,SaLo,120.19959259033205,125.78470611572266,131.1439666748047,135.21160888671875,138.6376953125
2009-01-07 00:00:00,"Sixth Place South in Normandy Park , Washington","Normandy Park resident Chris DeLaRosa says she ran for her life when a mudslide came pouring down her driveway on Jan. 7. The mud and water went almost to the Des Moines Marina, according to DeLaRosa. Rebecca Livingston is a student in the University of Washington Department of Communication News Laboratory","Sixth Place South in Normandy Park , Washington",5km,mudslide,rain,small,unknown,0.0,0.0,United States,Washington,6335,Normandy Park,0.68778,-122.334,47.432,11.2,10.7,10.7,11.2,10.7,10.7,9.1,90.04,58.04,100.0,61.1,38.1,196.2,1007.6,99.6,10.8,0.41,"Rain, Overcast","['72793024233', '72793524234', '72793494248']",118.0,North America,winter,6,0.0,0,Lo,Lo,Lo,Lo,Lo,Lo,1273.607421875,1344.3402099609375,1413.76904296875,1470.2557373046875,1520.5792236328125
2009-01-07 00:00:00,"Concrete, 70 miles northeast of Seattle,Washington","Rainfall totals for the 24 hours ending at 2 p.m. Wednesday included 6 inches at Marblemount in the Cascade foothills east of Mount Vernon; 4.70 inches at Glacier, near Mount Baker east of Bellingham; 4.59 inches at Paradise in Mount Rainier National Park, 3.63 inches in Olympia; and 1.64 inches at Seattle-Tacoma International Airport. There were no immediate reports of injuries. A woman was rescued after being trapped briefly in a house that was hit by a mudslide and collapsed in Concrete, 70 miles northeast of Seattle. Town Fire Chief Rich Phillips said medics indicated the woman was okay.","Concrete, 70 miles northeast of Seattle,Washington",5km,landslide,downpour,medium,unknown,0.0,0.0,United States,Washington,1347,Darrington,33.29411,-121.75,48.538,5.1,3.9,4.2,2.1,-0.3,0.7,8.6,100.0,28.36,95.83,48.2,19.5,154.9,1004.7,33.7,11.6,0.41,"Rain, Partially cloudy","['99999904223', '72794504205', '72027294282', '72797624217']",71.0,North America,winter,0,0.0,0,Lo,Lo,Lo,Lo,Lo,Lo,169.5685272216797,180.8271484375,192.12228393554688,201.85382080078125,210.91036987304688
2009-01-07 00:00:00,"Acme area, Whatcom County, Washington","U.S. 97 was closed by slides at Blewett Pass, between Leavenworth and Ellensburg, and 200 to 300 feet of the northbound lane was washed away by flooding from Peshastin Creek, state Trooper Richard A. Magnussen said. Several Western Washington counties declared emergencies due to mudslides and flooding. In Whatcom County, just south of the Canadian border, slides hit at least three homes, two in the Acme area, said Bellingham police Lt. Rick Sucee, a spokesman at the county’s emergency operations center.","Acme area, Whatcom County, Washington",1km,mudslide,rain,small,unknown,0.0,0.0,United States,Washington,6441,Sudden Valley,10.78797,-122.2,48.72,10.1,8.3,9.4,10.1,6.6,7.6,8.5,94.11,33.53,95.83,48.2,22.2,158.3,1004.7,98.1,10.2,0.41,"Rain, Overcast","['72027294282', '72220804224', '72797624217']",88.0,North America,winter,0,0.0,0,Lo,Lo,Lo,Lo,Lo,Lo,14.317099571228027,15.737704277038574,17.2354793548584,18.665966033935547,20.103853225708008
